ID	Description	Count	GeneRatio	geneID
GO:0022008	neurogenesis	31	31/101	DDR1/PTPRZ1/GDI1/APP/HIPK2/YWHAG/CRMP1/FGFR1/NTRK2/ATF4/GPM6B/DPYSL5/CDH2/KIF5C/NCAM1/ZMIZ1/SOX11/TUBB2B/BSG/STMN1/FEZ1/HS6ST1/SOX9/PREX1/L1CAM/FLNA/NCS1/RBFOX2/NRCAM/MBOAT7/SS18L1
GO:0048699	generation of neurons	30	30/101	DDR1/PTPRZ1/GDI1/APP/HIPK2/YWHAG/CRMP1/FGFR1/NTRK2/ATF4/GPM6B/DPYSL5/CDH2/KIF5C/NCAM1/ZMIZ1/SOX11/TUBB2B/BSG/STMN1/FEZ1/HS6ST1/SOX9/PREX1/L1CAM/FLNA/NCS1/RBFOX2/NRCAM/SS18L1
GO:0030182	neuron differentiation	29	29/101	DDR1/GDI1/APP/HIPK2/YWHAG/CRMP1/FGFR1/NTRK2/ATF4/GPM6B/DPYSL5/CDH2/KIF5C/NCAM1/ZMIZ1/SOX11/TUBB2B/BSG/STMN1/FEZ1/HS6ST1/SOX9/PREX1/L1CAM/FLNA/NCS1/RBFOX2/NRCAM/SS18L1
GO:0016070	RNA metabolic process	23	23/101	TMSB4X/SFPQ/APP/HIPK2/YWHAZ/ATF4/SRSF6/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/RBM39/APEX1/LUC7L3/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0051252	regulation of RNA metabolic process	22	22/101	TMSB4X/SFPQ/APP/HIPK2/YWHAZ/ATF4/SRSF6/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/RBM39/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0006464	cellular protein modification process	22	22/101	SFPQ/APLP2/DDR1/PTPRZ1/APP/HIPK2/YWHAG/YWHAZ/FGFR1/NTRK2/CDH2/ZMIZ1/CALM3/OGT/B4GALNT4/SOX9/PDIA3/MAVS/FLNA/OGA/MOB1B/LIMCH1
GO:0031175	neuron projection development	21	21/101	DDR1/GDI1/APP/CRMP1/NTRK2/GPM6B/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/PREX1/L1CAM/FLNA/NCS1/RBFOX2/NRCAM/SS18L1
GO:1902531	regulation of intracellular signal transduction	21	21/101	TMSB4X/SFPQ/GDI1/APP/HIPK2/YWHAZ/FGFR1/PIP4K2B/NTRK2/CDH2/WLS/OGT/SOX11/HYOU1/STMN1/GDI2/SOX9/PREX1/MAVS/FLNA/CHD3
GO:0032774	RNA biosynthetic process	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:2001141	regulation of RNA biosynthetic process	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0006355	regulation of transcription, DNA-templated	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:1903506	regulation of nucleic acid-templated transcription	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:2000112	regulation of cellular macromolecule biosynthetic process	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0097659	nucleic acid-templated transcription	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0006351	transcription, DNA-templated	19	19/101	TMSB4X/SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/MAGED1/FADS1/APEX1/SOX9/MAVS/FLNA/CHD3/RBFOX2/MN1/SS18L1
GO:0071702	organic substance transport	19	19/101	SFPQ/GDI1/YWHAG/YWHAZ/SV2A/NTRK2/GPM6B/SRSF6/WLS/CANX/KIF5C/SEC61A1/PSAP/GDI2/HMGCR/PLTP/MAVS/FLNA/TBC1D16
GO:0120039	plasma membrane bounded cell projection morphogenesis	17	17/101	DDR1/GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/RBFOX2/NRCAM/SS18L1
GO:0048812	neuron projection morphogenesis	17	17/101	DDR1/GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/RBFOX2/NRCAM/SS18L1
GO:0048858	cell projection morphogenesis	17	17/101	DDR1/GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/RBFOX2/NRCAM/SS18L1
GO:0007417	central nervous system development	17	17/101	PTPRZ1/APP/MARCKSL1/NTRK2/CDH2/ZMIZ1/CALM3/SOX11/STMN1/FEZ1/SOX9/HMGCS1/FLNA/RBFOX2/NRCAM/MBOAT7/ADGRL2
GO:0048667	cell morphogenesis involved in neuron differentiation	16	16/101	GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/RBFOX2/NRCAM/SS18L1
GO:0061564	axon development	16	16/101	DDR1/GDI1/APP/CRMP1/NTRK2/DPYSL5/CDH2/KIF5C/NCAM1/TUBB2B/BSG/STMN1/FEZ1/L1CAM/FLNA/NRCAM
GO:0015833	peptide transport	15	15/101	SFPQ/GDI1/YWHAG/YWHAZ/GPM6B/SRSF6/WLS/CANX/KIF5C/SEC61A1/GDI2/HMGCR/MAVS/FLNA/TBC1D16
GO:0019220	regulation of phosphate metabolic process	15	15/101	TMSB4X/EEF1A1/DDR1/APP/HIPK2/YWHAG/FGFR1/PIP4K2B/NTRK2/CALM3/OGT/SOX9/MAVS/MOB1B/LIMCH1
GO:0042981	regulation of apoptotic process	15	15/101	SFPQ/PTPRZ1/HIPK2/YWHAZ/FGFR1/NTRK2/ATF4/SRSF6/MAGED1/HYOU1/APEX1/SOX9/PDIA3/PREX1/FLNA
GO:0032268	regulation of cellular protein metabolic process	14	14/101	APLP2/APP/HIPK2/YWHAG/FGFR1/NTRK2/ATF4/ZMIZ1/CALM3/OGT/SOX9/MAVS/MOB1B/LIMCH1
GO:0006366	transcription by RNA polymerase II	14	14/101	SFPQ/APP/HIPK2/ATF4/SALL2/ZMIZ1/OGT/SOX11/APEX1/SOX9/MAVS/FLNA/CHD3/SS18L1
